1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: D00000005FADC021
Is Mission Active?  false
Mission Start:  Thu Oct 05 14:15:00 PDT 2023
Sample Rate:  Every 1 minute(s)
Number of Mission Samples:  86
Total Samples:  2131
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
10/5/23 2:15:00 PM,C,27
10/5/23 2:16:00 PM,C,26.5
10/5/23 2:17:00 PM,C,26.5
10/5/23 2:18:00 PM,C,26.5
10/5/23 2:19:00 PM,C,26.5
10/5/23 2:20:00 PM,C,26
10/5/23 2:21:00 PM,C,26
10/5/23 2:22:00 PM,C,26
10/5/23 2:23:00 PM,C,26
10/5/23 2:24:00 PM,C,26
10/5/23 2:25:00 PM,C,26
10/5/23 2:26:00 PM,C,26
10/5/23 2:27:00 PM,C,25.5
10/5/23 2:28:00 PM,C,24.5
10/5/23 2:29:00 PM,C,21
10/5/23 2:30:00 PM,C,11
10/5/23 2:31:00 PM,C,8.5
10/5/23 2:32:00 PM,C,6
10/5/23 2:33:00 PM,C,4
10/5/23 2:34:00 PM,C,3
10/5/23 2:35:00 PM,C,2
10/5/23 2:36:00 PM,C,1.5
10/5/23 2:37:00 PM,C,1.5
10/5/23 2:38:00 PM,C,1
10/5/23 2:39:00 PM,C,0.5
10/5/23 2:40:00 PM,C,0.5
10/5/23 2:41:00 PM,C,0.5
10/5/23 2:42:00 PM,C,0.5
10/5/23 2:43:00 PM,C,0.5
10/5/23 2:44:00 PM,C,0.5
10/5/23 2:45:00 PM,C,0.5
10/5/23 2:46:00 PM,C,0.5
10/5/23 2:47:00 PM,C,0.5
10/5/23 2:48:00 PM,C,0.5
10/5/23 2:49:00 PM,C,0.5
10/5/23 2:50:00 PM,C,0.5
10/5/23 2:51:00 PM,C,0.5
10/5/23 2:52:00 PM,C,0.5
10/5/23 2:53:00 PM,C,0.5
10/5/23 2:54:00 PM,C,0.5
10/5/23 2:55:00 PM,C,0.5
10/5/23 2:56:00 PM,C,0.5
10/5/23 2:57:00 PM,C,0
10/5/23 2:58:00 PM,C,0
10/5/23 2:59:00 PM,C,0
10/5/23 3:00:00 PM,C,0
10/5/23 3:01:00 PM,C,0
10/5/23 3:02:00 PM,C,0
10/5/23 3:03:00 PM,C,0
10/5/23 3:04:00 PM,C,0
10/5/23 3:05:00 PM,C,0
10/5/23 3:06:00 PM,C,0
10/5/23 3:07:00 PM,C,0
10/5/23 3:08:00 PM,C,0
10/5/23 3:09:00 PM,C,0
10/5/23 3:10:00 PM,C,0
10/5/23 3:11:00 PM,C,0.5
10/5/23 3:12:00 PM,C,0.5
10/5/23 3:13:00 PM,C,0.5
10/5/23 3:14:00 PM,C,0.5
10/5/23 3:15:00 PM,C,0.5
10/5/23 3:16:00 PM,C,0.5
10/5/23 3:17:00 PM,C,0.5
10/5/23 3:18:00 PM,C,0.5
10/5/23 3:19:00 PM,C,0.5
10/5/23 3:20:00 PM,C,0.5
10/5/23 3:21:00 PM,C,0.5
10/5/23 3:22:00 PM,C,0.5
10/5/23 3:23:00 PM,C,0.5
10/5/23 3:24:00 PM,C,0.5
10/5/23 3:25:00 PM,C,0.5
10/5/23 3:26:00 PM,C,0.5
10/5/23 3:27:00 PM,C,0.5
10/5/23 3:28:00 PM,C,0.5
10/5/23 3:29:00 PM,C,0.5
10/5/23 3:30:00 PM,C,0.5
10/5/23 3:31:00 PM,C,0.5
10/5/23 3:32:00 PM,C,1
10/5/23 3:33:00 PM,C,2
10/5/23 3:34:00 PM,C,5
10/5/23 3:35:00 PM,C,11
10/5/23 3:36:00 PM,C,14
10/5/23 3:37:00 PM,C,15.5
10/5/23 3:38:00 PM,C,16.5
10/5/23 3:39:00 PM,C,17
10/5/23 3:40:00 PM,C,17.5
